Contract Month,Last,Change,Open Interest,FALSE,1,3-Jan-17
June,485,unc,1058,TRUE,29,18-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,30,19-Oct-16
October,490,-1,2575,TRUE,30,19-Oct-16
November,483,3,2293,TRUE,30,19-Oct-16
December,483,1,1962,TRUE,30,19-Oct-16
January,490,5,1458,TRUE,30,19-Oct-16
February,490,5,1418,TRUE,30,19-Oct-16
March,490,5,1293,TRUE,30,19-Oct-16
April,493,8,1139,TRUE,30,19-Oct-16
May,493,8,1130,TRUE,30,19-Oct-16
June,493,8,1058,TRUE,30,19-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,31,20-Oct-16
October,490,unc,2575,TRUE,31,20-Oct-16
November,483,unc,2298,TRUE,31,20-Oct-16
December,483,unc,1962,TRUE,31,20-Oct-16
January,490,unc,1458,TRUE,31,20-Oct-16
February,490,unc,1418,TRUE,31,20-Oct-16
March,490,unc,1293,TRUE,31,20-Oct-16
April,493,unc,1139,TRUE,31,20-Oct-16
May,493,unc,1130,TRUE,31,20-Oct-16
June,493,unc,1058,TRUE,31,20-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,32,21-Oct-16
October,490,unc,2575,TRUE,32,21-Oct-16
November,487,4,2298,TRUE,32,21-Oct-16
December,495,12,1962,TRUE,32,21-Oct-16
January,505,15,1458,TRUE,32,21-Oct-16
February,505,15,1418,TRUE,32,21-Oct-16
March,505,15,1293,TRUE,32,21-Oct-16
April,505,12,1139,TRUE,32,21-Oct-16
May,505,12,1130,TRUE,32,21-Oct-16
June,505,12,1058,TRUE,32,21-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,33,24-Oct-16
October,490,unc,2575,TRUE,33,24-Oct-16
November,497,10,2393,TRUE,33,24-Oct-16
December,505,10,1942,TRUE,33,24-Oct-16
January,520,15,1438,TRUE,33,24-Oct-16
February,520,15,1402,TRUE,33,24-Oct-16
March,520,15,1263,TRUE,33,24-Oct-16
April,520,15,1139,TRUE,33,24-Oct-16
May,520,15,1114,TRUE,33,24-Oct-16
June,520,15,1042,TRUE,33,24-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,34,25-Oct-16
October,490,unc,2575,TRUE,34,25-Oct-16
November,497,unc,2393,TRUE,34,25-Oct-16
December,505,unc,1942,TRUE,34,25-Oct-16
January,520,unc,1438,TRUE,34,25-Oct-16
February,520,unc,1402,TRUE,34,25-Oct-16
March,520,unc,1263,TRUE,34,25-Oct-16
April,520,unc,1139,TRUE,34,25-Oct-16
May,520,unc,1114,TRUE,34,25-Oct-16
June,520,unc,1042,TRUE,34,25-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,35,26-Oct-16
November,497,unc,2393,TRUE,35,26-Oct-16
December,510,5,1924,TRUE,35,26-Oct-16
January,525,5,1441,TRUE,35,26-Oct-16
February,522,2,1402,TRUE,35,26-Oct-16
March,516,-4,1263,TRUE,35,26-Oct-16
April,516,-4,1139,TRUE,35,26-Oct-16
May,516,-4,1114,TRUE,35,26-Oct-16
June,516,-4,1042,TRUE,35,26-Oct-16
July,519,-1,895,TRUE,35,26-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,36,31-Oct-16
November,492,-5,2393,TRUE,36,31-Oct-16
December,510,unc,1924,TRUE,36,31-Oct-16
January,520,-15,1443,TRUE,36,31-Oct-16
February,520,-2,1399,TRUE,36,31-Oct-16
March,525,9,1263,TRUE,36,31-Oct-16
April,525,9,1139,TRUE,36,31-Oct-16
May,525,9,1114,TRUE,36,31-Oct-16
June,525,9,1052,TRUE,36,31-Oct-16
July,525,6,895,TRUE,36,31-Oct-16
Contract Month,Last,Change,Open Interest,FALSE,37,1-Nov-16
November,492,unc,2393,TRUE,37,1-Nov-16
December,510,unc,1924,TRUE,37,1-Nov-16
January,520,unc,1443,TRUE,37,1-Nov-16
February,520,unc,1399,TRUE,37,1-Nov-16
March,525,unc,1263,TRUE,37,1-Nov-16
April,525,unc,1139,TRUE,37,1-Nov-16
May,525,unc,1114,TRUE,37,1-Nov-16
June,525,unc,1052,TRUE,37,1-Nov-16
July,525,unc,895,TRUE,37,1-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,38,2-Nov-16
November,492,unc,2393,TRUE,38,2-Nov-16
December,510,unc,1924,TRUE,38,2-Nov-16
January,535,15,1443,TRUE,38,2-Nov-16
February,535,15,1399,TRUE,38,2-Nov-16
March,535,10,1263,TRUE,38,2-Nov-16
April,525,unc,1139,TRUE,38,2-Nov-16
May,525,unc,1114,TRUE,38,2-Nov-16
June,525,unc,1052,TRUE,38,2-Nov-16
July,525,unc,895,TRUE,38,2-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,39,3-Nov-16
November,492,unc,2393,TRUE,39,3-Nov-16
December,510,unc,1924,TRUE,39,3-Nov-16
January,535,unc,1443,TRUE,39,3-Nov-16
February,535,unc,1399,TRUE,39,3-Nov-16
March,535,unc,1263,TRUE,39,3-Nov-16
April,525,unc,1139,TRUE,39,3-Nov-16
May,525,unc,1114,TRUE,39,3-Nov-16
June,525,unc,1052,TRUE,39,3-Nov-16
July,525,unc,895,TRUE,39,3-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,40,4-Nov-16
November,492,unc,2393,TRUE,40,4-Nov-16
December,510,unc,1924,TRUE,40,4-Nov-16
January,535,unc,1443,TRUE,40,4-Nov-16
February,535,unc,1399,TRUE,40,4-Nov-16
March,535,unc,1263,TRUE,40,4-Nov-16
April,525,unc,1139,TRUE,40,4-Nov-16
May,525,unc,1114,TRUE,40,4-Nov-16
June,525,unc,1052,TRUE,40,4-Nov-16
July,525,unc,895,TRUE,40,4-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,41,7-Nov-16
November,492,unc,2393,TRUE,41,7-Nov-16
December,510,unc,1924,TRUE,41,7-Nov-16
January,535,unc,1443,TRUE,41,7-Nov-16
February,535,unc,1399,TRUE,41,7-Nov-16
March,535,unc,1263,TRUE,41,7-Nov-16
April,525,unc,1139,TRUE,41,7-Nov-16
May,525,unc,1114,TRUE,41,7-Nov-16
June,525,unc,1052,TRUE,41,7-Nov-16
July,525,unc,895,TRUE,41,7-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,42,8-Nov-16
November,492,unc,2393,TRUE,42,8-Nov-16
December,510,unc,1924,TRUE,42,8-Nov-16
January,535,unc,1443,TRUE,42,8-Nov-16
February,535,unc,1399,TRUE,42,8-Nov-16
March,535,unc,1263,TRUE,42,8-Nov-16
April,525,unc,1139,TRUE,42,8-Nov-16
May,525,unc,1114,TRUE,42,8-Nov-16
June,525,unc,1052,TRUE,42,8-Nov-16
July,525,unc,895,TRUE,42,8-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,43,9-Nov-16
November,492,unc,2393,TRUE,43,9-Nov-16
December,515,5,1924,TRUE,43,9-Nov-16
January,540,5,1444,TRUE,43,9-Nov-16
February,540,5,1425,TRUE,43,9-Nov-16
March,540,5,1268,TRUE,43,9-Nov-16
April,540,15,1144,TRUE,43,9-Nov-16
May,540,15,1119,TRUE,43,9-Nov-16
June,540,15,1057,TRUE,43,9-Nov-16
July,540,15,900,TRUE,43,9-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,44,15-Nov-16
November,492,unc,2393,TRUE,44,15-Nov-16
December,540,20,1924,TRUE,44,15-Nov-16
January,555,15,1444,TRUE,44,15-Nov-16
February,555,10,1425,TRUE,44,15-Nov-16
March,555,15,1268,TRUE,44,15-Nov-16
April,555,20,1144,TRUE,44,15-Nov-16
May,565,25,1119,TRUE,44,15-Nov-16
June,555,15,1057,TRUE,44,15-Nov-16
July,555,10,900,TRUE,44,15-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,45,16-Nov-16
November,492,unc,2393,TRUE,45,16-Nov-16
December,535,-5,1924,TRUE,45,16-Nov-16
January,555,unc,1444,TRUE,45,16-Nov-16
February,555,unc,1425,TRUE,45,16-Nov-16
March,555,unc,1268,TRUE,45,16-Nov-16
April,555,unc,1144,TRUE,45,16-Nov-16
May,565,unc,1119,TRUE,45,16-Nov-16
June,555,unc,1057,TRUE,45,16-Nov-16
July,555,unc,900,TRUE,45,16-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,46,17-Nov-16
November,494,2,2393,TRUE,46,17-Nov-16
December,540,5,1924,TRUE,46,17-Nov-16
January,570,15,1444,TRUE,46,17-Nov-16
February,575,20,1425,TRUE,46,17-Nov-16
March,575,20,1268,TRUE,46,17-Nov-16
April,575,20,1144,TRUE,46,17-Nov-16
May,575,10,1119,TRUE,46,17-Nov-16
June,575,20,1057,TRUE,46,17-Nov-16
July,575,20,900,TRUE,46,17-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,47,18-Nov-16
November,494,unc,2393,TRUE,47,18-Nov-16
December,545,5,1924,TRUE,47,18-Nov-16
January,570,unc,1444,TRUE,47,18-Nov-16
February,575,unc,1425,TRUE,47,18-Nov-16
March,575,unc,1268,TRUE,47,18-Nov-16
April,575,unc,1144,TRUE,47,18-Nov-16
May,590,15,1119,TRUE,47,18-Nov-16
June,575,unc,1057,TRUE,47,18-Nov-16
July,575,unc,900,TRUE,47,18-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,48,21-Nov-16
November,494,unc,2393,TRUE,48,21-Nov-16
December,550,5,1924,TRUE,48,21-Nov-16
January,570,unc,1444,TRUE,48,21-Nov-16
February,575,unc,1425,TRUE,48,21-Nov-16
March,575,unc,1268,TRUE,48,21-Nov-16
April,575,unc,1144,TRUE,48,21-Nov-16
May,590,unc,1119,TRUE,48,21-Nov-16
June,580,5,1057,TRUE,48,21-Nov-16
July,580,5,900,TRUE,48,21-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,49,22-Nov-16
November,494,unc,2393,TRUE,49,22-Nov-16
December,551,1,1924,TRUE,49,22-Nov-16
January,570,unc,1444,TRUE,49,22-Nov-16
February,575,unc,1425,TRUE,49,22-Nov-16
March,575,unc,1268,TRUE,49,22-Nov-16
April,575,unc,1144,TRUE,49,22-Nov-16
May,590,unc,1119,TRUE,49,22-Nov-16
June,590,10,1057,TRUE,49,22-Nov-16
July,580,unc,900,TRUE,49,22-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,50,23-Nov-16
November,510,16,239,TRUE,50,23-Nov-16
December,555,4,1924,TRUE,50,23-Nov-16
January,605,35,1444,TRUE,50,23-Nov-16
February,605,30,1425,TRUE,50,23-Nov-16
March,605,30,1268,TRUE,50,23-Nov-16
April,605,30,1144,TRUE,50,23-Nov-16
May,605,15,1119,TRUE,50,23-Nov-16
June,605,15,1057,TRUE,50,23-Nov-16
July,580,unc,900,TRUE,50,23-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,51,28-Nov-16
November,510,unc,2432,TRUE,51,28-Nov-16
December,560,5,1975,TRUE,51,28-Nov-16
January,615,10,1569,TRUE,51,28-Nov-16
February,615,10,1550,TRUE,51,28-Nov-16
March,615,10,1301,TRUE,51,28-Nov-16
April,615,10,1176,TRUE,51,28-Nov-16
May,615,10,1141,TRUE,51,28-Nov-16
June,610,5,1090,TRUE,51,28-Nov-16
July,600,20,883,TRUE,51,28-Nov-16
Contract Month,Last,Change,Open Interest,FALSE,52,1-Dec-16
November,510,unc,2432,TRUE,52,1-Dec-16
December,562,unc,1975,TRUE,52,1-Dec-16
January,635,unc,1569,TRUE,52,1-Dec-16
February,625,-10,1550,TRUE,52,1-Dec-16
March,615,-20,1301,TRUE,52,1-Dec-16
April,615,-20,1176,TRUE,52,1-Dec-16
May,615,-20,1141,TRUE,52,1-Dec-16
June,615,-20,1090,TRUE,52,1-Dec-16
July,610,unc,883,TRUE,52,1-Dec-16
Contract Month,Last,Change,Open Interest,FALSE,53,5-Dec-16
November,510,unc,2432,TRUE,53,5-Dec-16
December,562,unc,1975,TRUE,53,5-Dec-16
January,635,unc,1569,TRUE,53,5-Dec-16
February,625,unc,1550,TRUE,53,5-Dec-16
March,615,unc,1301,TRUE,53,5-Dec-16
April,615,unc,1176,TRUE,53,5-Dec-16
May,615,unc,1141,TRUE,53,5-Dec-16
June,615,unc,1090,TRUE,53,5-Dec-16
July,610,unc,883,TRUE,53,5-Dec-16
Contract Month,Last,Change,Open Interest,FALSE,54,6-Dec-16
December,575,10,1975,TRUE,54,6-Dec-16
January,620,-5,1561,TRUE,54,6-Dec-16
February,620,-5,1492,TRUE,54,6-Dec-16
March,620,5,1279,TRUE,54,6-Dec-16
April,618,3,1179,TRUE,54,6-Dec-16
May,615,unc,1143,TRUE,54,6-Dec-16
June,611,-4,1120,TRUE,54,6-Dec-16
July,604,-6,893,TRUE,54,6-Dec-16
August,595,-9,869,TRUE,54,6-Dec-16
Contract Month,Last,Change,Open Interest,FALSE,55,14-Dec-16
